Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
PV-BDTC1,S166,3.25,3.15,0.93,5.9,0.594,91.9,31.7 ,2.90 ,1251,5.56,3.49,2.07,CC1=CC=C(C(C2=C3SC(C(OCC(CCCCCC)CCCC)=O)=C2)=C4C(C=C(C(OCC(CCCCCC)CCCC)=O)S4)=C3C5=CC=C(C6=CC(C(OCC(CC)CCCC)=C(SC(C)=C7)C7=C8OCC(CCCC)CC)=C8S6)S5)S1,CCCCCCC(CCCC)COC(=O)c1cc2c(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c3sc(C(=O)OCC(CCCC)CCCCCC)cc3c(-c3ccc(C)s3)c2s1,84,182,1251.9720000000032,8
PBPT-12,S65,5.11,5.11,0.75,12.56,0.542,63.9,22.2 ,2.88 ,1242,5.44,3.91,1.53,CC(S1)=CC2=C1C(C3=CC=C(CCCCCCCCCCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CN=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CCCCCCCCCCCC)S9,CCCCCCCCCCCCc1ccc(-c2c3cc(-c4sc(-c5cnc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CCCCCCCCCCCC)s3)c3cc(C)sc23)s1,83,182,1243.085000000003,9
PQTDPP,S385,2.28,2.28,0.58,7.16,0.55,987.0,345.0 ,2.86 ,1217,5.19,3.64,1.36,CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C4=C(CCCCCCCCCCCC)C=C(C5=CC=C(C6=C7C(C(N6CC(CCCC)CC)=O)=C(C8=CC=C(C)S8)N(CC(CC)CCCC)C7=O)S5)S4)S3)S2)S1,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)s7)=C6C(=O)N5CC(CC)CCCC)s4)cc3CCCCCCCCCCCC)s2)s1,82,182,1218.006000000003,6
PBDTHD-CIBTEH,S420,5.46,5.29,0.78,10.94,0.644,58.6,21.8 ,2.69 ,1275,5.53,3.71,1.71,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCCCC)CCCCCC)S3)=C(C=C(C4=CC=C(C5=CC(Cl)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC=C(CC(CCCCCCCC)CCCCCC)S9,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5cc(Cl)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,84,183,1276.5420000000029,9
PBDT-TPD (P11),S225,0.7,0.7,0.92,2.3,0.34,52.7,22.9 ,2.30 ,1182,5.73,3.78,1.89,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C(CCCCCCCC)C=C(C4=C5C(C(N(CCCCCCCCCCCC)C5=O)=O)=C(C6=CC(CCCCCCCC)=C(C)S6)S4)S3)S7)C7=C2OCC(CCCC)CC,CCCCCCCCCCCCN1C(=O)c2c(-c3cc(CCCCCCCC)c(C)s3)sc(-c3cc(CCCCCCCC)c(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c2C1=O,80,183,1182.9320000000032,6
PBDT2FBT-T,S218,6.37,6.16,0.98,10.6,0.578,27.1,21.2 ,1.27 ,1277,5.55,3.58,1.75,CC1=CC2=C(C(C3=CC=C(C[C@@H](CCCC)CCCCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=C(F)C(F)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CC(CCCCCC)CCCC)S9)S1,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(C[C@@H](CCCC)CCCCCC)s3)c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc23)s1,85,183,1278.077000000003,9
PBDT_TEH-HDO_H-BTff,S75,8.3,8.3,0.78,15.38,0.692,49.5,27.5 ,1.80 ,1201,5.31,3.61,1.7,CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=C(CCCCCC)C=C(C4=C(F)C(F)=C(C5=CC(CCCCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CCCCCCCC)CCCCCC,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CCCCCC)c(C)s5)c5nsnc45)cc3CCCCCC)sc2c(OCC(CCCCCC)CCCCCCCC)c2cc(C)sc12,81,183,1201.929000000003,7
PBDT2FBT-T1,S198,5.46,5.36,0.98,9.62,0.597,49.3,28.1 ,1.75 ,1277,5.47,3.58,1.75,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCC)CCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=C(F)C(F)=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CC(CCCC)CCCCCC)S9,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1,85,183,1278.0770000000027,9
BDT-BT-2T,S216,5.4,5.4,0.75,11.2,0.64,128.5,47.6 ,2.70 ,1241,5.18,3.55,1.63,CC1=CC2=C(C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9)S1,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,83,183,1242.0970000000027,9
P2,S230,1.82,1.68,0.72,7.4,0.341,32.0,24.6 ,1.30 ,1345,5.34,3.6,1.74,CC1=CC2=C(C(C3=CC=C(C4=CC=CC(OCC(CC)CCCC)=C4)S3)=C(C=C(C5=CC=C(C6=C(OCCCCCCCC)C(OCCCCCCCC)=C(C7=CC=C(C)S7)C8=NSN=C86)S5)S9)C9=C2C%10=CC=C(C%11=CC(OCC(CCCC)CC)=CC=C%11)S%10)S1,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(-c6cccc(OCC(CC)CCCC)c6)s5)c5sc(C)cc5c(-c5ccc(-c6cccc(OCC(CC)CCCC)c6)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,91,183,1346.0730000000028,11
INDT-T,S228,2.35,2.35,0.59,6.88,0.58,49.4,15.7 ,3.15 ,1177,4.24,3.02,1.57,O=C(N1C2=CC=C(OCC(CCCCCCCCCC)CCCCCCCC)C=C23)C(C4=CC=C(C5=CC=C(C)S5)S4)=C6C7=C1C3=C(C8=CC=C(C)S8)C(N7C9=C6C=C(OCC(CCCCCCCC)CCCCCCCCCC)C=C9)=O,CCCCCCCCCCC(CCCCCCCC)COc1ccc2c(c1)c1c(-c3ccc(C)s3)c(=O)n3c4ccc(OCC(CCCCCCCC)CCCCCCCCCC)cc4c4c(-c5ccc(-c6ccc(C)s6)s5)c(=O)n2c1c43,83,183,1177.825000000003,9
BDT-FBT-2Fu,S216,4.4,4.4,0.86,8.7,0.59,79.4,34.5 ,2.30 ,1245,5.28,3.6,1.68,CC1=CC2=C(C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)O6)C7=NSN=C75)O4)S8)C8=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9)S1,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)o6)c6nsnc56)o4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,85,183,1245.9410000000028,9
PBDT-FBT,S209,6.21,6.08,0.86,12.05,0.599,58.6,22.7 ,2.58 ,1259,5.41,3.72,1.63,CC1=CC2=C(C(C3=CC=C(CCCCCCCCCCCC)S3)=C(C=C(C4=C(CCCCCCCC)C=C(C5=CC(F)=C(C6=CC(CCCCCCCC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CCCCCCCCCCCC)S9)S1,CCCCCCCCCCCCc1ccc(-c2c3cc(-c4sc(-c5cc(F)c(-c6cc(CCCCCCCC)c(C)s6)c6nsnc56)cc4CCCCCCCC)sc3c(-c3ccc(CCCCCCCCCCCC)s3)c3cc(C)sc23)s1,84,183,1260.087000000003,9
P3,S21,0.61,0.61,0.41,5.16,0.29,5.1,3.3 ,1.55 ,1309,4.8,3.7,1.1,CC1=CC(N(C2=CC=C(N(C3=CC=C(OCC(CCCCCC)CCCC)C=C3)C4=CC=C(OCC(CCCCCC)CCCC)C=C4)C=C2)C5=C6C=CC(C7=CC=C(C8=C(N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N%11)C%11=C(C%12=CC=C(C)S%12)C%13=NSN=C%138)S7)=C5)=C6C=C1,CCCCCCC(CCCC)COc1ccc(N(c2ccc(OCC(CCCC)CCCCCC)cc2)c2ccc(-n3c4cc(C)ccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7ccc(C)s7)c7nc(-c8ccccc8)c(-c8ccccc8)nc67)s5)cc43)cc2)cc1,95,183,1309.8690000000022,13
PBDT-TPD (P10),S225,3.6,3.6,0.87,7.2,0.58,94.4,41.6 ,2.27 ,1182,5.56,3.7,1.88,CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC(CCCCCCCC)=C(C4=C5C(C(N(CCCCCCCCCCCC)C5=O)=O)=C(C6=C(CCCCCCCC)C=C(C)S6)S4)S3)S7)C7=C2OCC(CCCC)CC,CCCCCCCCCCCCN1C(=O)c2c(-c3sc(C)cc3CCCCCCCC)sc(-c3sc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)cc3CCCCCCCC)c2C1=O,80,183,1182.9320000000032,6
BDT-BT-2Fu,S216,3.7,3.7,0.86,7.9,0.55,56.1,25.5 ,2.20 ,1209,5.36,3.59,1.77,CC1=CC2=C(C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)O6)C7=NSN=C75)O4)S8)C8=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9)S1,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)o6)c6nsnc56)o4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,83,183,1209.9610000000027,9
BDT-FBT-2T,S216,7.7,7.7,0.85,13.3,0.68,136.9,65.2 ,2.10 ,1277,5.33,3.63,1.7,CC1=CC2=C(C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9)S1,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,85,183,1278.0770000000025,9
PBDTT-DTFPQx,S438,7.2,7.0,0.87,11.4,0.73,81.0,43.1 ,1.88 ,1343,5.52,3.86,1.66,CC1=CC2=C(C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(OCCCCCCCC)C(OCCCCCCCC)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(F)C=C8)C(C9=CC=C(F)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11)S1,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc2c1-c1ccc(C)s1,92,184,1344.0260000000028,11
PTTPPz-BDT,S254,4.25,4.25,0.74,9.79,0.582,191.8,57.5 ,3.33 ,1253,5.29,3.08,1.7,CC(S1)=CC=C1C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCC(CC)CCCCCC)=C(OC[C@@H](CCCCCC)CC)C6=C5C=C(C)S6)C7=C2N=C(C8=CC=CC(C=C9)=C8C%10=C9C=CC=C%10%11)C%11=N7,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OC[C@H](CC)CCCCCC)c5sc(C)cc5c(OCC(CC)CCCCCC)c4s3)s2)c2nc3c4cccc5ccc6cccc(c3nc2c1-c1ccc(C)s1)c6c54,88,184,1253.9040000000027,11
PBDTTFTQ-EH,S253,7.29,7.15,0.78,13.2,0.708,181.1,64.7 ,2.79 ,1325,5.29,3.05,1.68,CC(S1)=CC=C1C2=CC(F)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CCCC)CC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC(OCCCCCCCC)=CC=C%10)C(C%11=CC=CC(OCCCCCCCC)=C%11)=N9,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)cc(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,91,184,1326.0360000000026,11
PBDTT-SeDPP,S90,7.2,7.0,0.69,16.8,0.62,79.8,38.0 ,2.10 ,1336,5.25,3.7,1.38,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCC)C5=O)=C6C5=C(C7=CC=C(C)[Se]7)N(CC(CCCCCC)CCCC)C6=O)[Se]4)S8)C8=C2C9=CC=C(CC(CC)CCCC)S9,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)[se]3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1ccc(C)[se]1,84,184,1335.814000000003,7
PBDT-FBTA,S168,6.0,6.0,0.75,11.9,0.672,43.2,32.0 ,1.35 ,1260,5.26,3.08,1.91,CC1=CC=C(C2=C(F)C(F)=C(C3=NN(CCCCCCCC)N=C32)C4=CC=C(C5=CC(C(C6=CC=C(CC(CCCCCCCC)CCCCCC)S6)=C(SC(C)=C7)C7=C8C9=CC=C(CC(CCCCCCCC)CCCCCC)S9)=C8S5)S4)S1,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,85,184,1261.0250000000026,9
PBQ-2,S41,6.25,6.25,0.76,13.05,0.633,23.2,10.2 ,2.27 ,1343,4.86,3.15,1.66,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,92,184,1344.0260000000026,11
PBQ-3,S41,7.39,7.39,0.8,13.6,0.677,65.5,18.3 ,3.58 ,1343,4.92,3.21,1.68,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,92,184,1344.0260000000023,11
P5,S482,6.28,6.05,0.86,10.61,0.69,275.2,86.0 ,3.20 ,1175,5.61,3.95,1.66,CC1=CC=C(C2=C(F)C(F)=C(C3=CC=C(C4=C(OCCC(CCCCCCCCCC)CCCCCCCCCC)C(OCCC(CCCCCCCCCC)CCCCCCCCCC)=C(C)C5=NSN=C54)S3)C6=NSN=C62)S1,CCCCCCCCCCC(CCCCCCCCCC)CCOc1c(OCCC(CCCCCCCCCC)CCCCCCCCCC)c(-c2ccc(-c3c(F)c(F)c(-c4ccc(C)s4)c4nsnc34)s2)c2nsnc2c1C,80,184,1175.8700000000035,6
PBDT-PTQ,S243,4.39,4.39,0.65,12.5,0.54,11.1,10.1 ,1.10 ,1307,5.11,3.64,1.62,CC(S1)=CC=C1C2=CC=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCCCCCCCC)=C(OCCCCCCCC)C6=C5C=C(C)S6)C7=C2N=C(C8=CC=C(C9=CC(CCCCCCCC)=CS9)C=C8)C(C%10=CC=C(C%11=CC(CCCCCCCC)=CS%11)C=C%10)=N7,CCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nc(-c6ccc(-c7cc(CCCCCCCC)cs7)cc6)c(-c6ccc(-c7cc(CCCCCCCC)cs7)cc6)nc45)s3)sc2c(OCCCCCCCC)c2cc(C)sc12,90,184,1308.0460000000026,11
PBDTT-FDPP,S90,4.7,4.5,0.77,10.9,0.56,77.4,35.2 ,2.20 ,1209,5.26,3.64,1.51,CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCC)C5=O)=C6C5=C(C7=CC=C(C)O7)N(CC(CCCCCC)CCCC)C6=O)O4)S8)C8=C2C9=CC=C(CC(CC)CCCC)S9,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)o3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1ccc(C)o1,84,184,1209.892000000003,7
P2,S484,3.48,3.48,0.9,6.16,0.62,20.6,11.9 ,1.73 ,1254,5.34,3.6,1.7,CC1=CC2=C(C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C(C(N7CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=C5C7=O)S4)S8)C8=C2C9=CC=C(CC(CC)CCCC)S9)S1,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)c2c(-c3ccc(C)s3)nnc(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2C1=O,85,184,1255.0270000000028,8
PBDTT-DPP,S388,6.6,6.5,0.73,14.0,0.65,89.5,40.7 ,2.20 ,1241,5.3,3.63,1.44,CC1=CC2=C(C3=CC=C(CC(CC)CCCC)S3)C4=C(C=C(C5=CC=C(C(N(CC(CCCC)CCCCCC)C6=O)=C7C6=C(C8=CC=C(C)S8)N(CC(CCCCCC)CCCC)C7=O)S5)S4)C(C9=CC=C(CC(CCCC)CC)S9)=C2S1,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1ccc(C)s1,84,184,1242.028000000003,7
PBDTDT(Qx-3)-T,S249,6.9,6.9,0.94,11.28,0.647,97.0,59.0 ,1.64 ,1307,5.51,3.57,1.78,CC(S1)=CC=C1C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC=CC=C%10)C(C%11=CC=CC=C%11)=N9,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nc(-c3ccccc3)c(-c3ccccc3)nc2c1-c1ccc(C)s1,90,184,1308.0460000000028,11
PBQ-1,S41,5.63,5.63,0.64,12.56,0.701,210.3,68.5 ,3.07 ,1307,4.66,2.95,1.64,CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,90,184,1308.0460000000028,11
PBDT-DFQX-TP,S251,6.08,6.08,0.82,12.34,0.601,63.9,40.1 ,1.59 ,1343,5.25,3.52,1.78,CC(S1)=CC=C1C2=C(F)C(F)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(C[C@H](CCCC)CC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC=C(OC[C@@H](CC)CCCC)C=C%10)C(C%11=CC=C(OCC(CC)CCCC)C=C%11)=N9,CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(C[C@@H](CC)CCCC)s7)c6s5)s4)c(F)c(F)c(-c4ccc(C)s4)c3nc2-c2ccc(OC[C@@H](CC)CCCC)cc2)cc1,92,184,1344.0260000000026,11
P1,S260,1.93,1.93,0.81,6.27,0.369,58.3,30.7 ,1.90 ,1353,5.2,3.56,1.64,CC1=CC2=C(C(C3=CC(C=C(CC(CC)CCCC)C=C4)=C4S3)=C(C=C(C5=CC=C(C6=C(OCC(CC(CC)CCCC)(CC(CCCC)CC)CO7)C7=C(C8=CC=C(C)C9=NSN=C89)S6)C%10=NSN=C5%10)S%11)C%11=C2C%12=CC(C=C(CC(CCCC)CC)C=C%13)=C%13S%12)S1,CCCCC(CC)Cc1ccc2sc(-c3c4cc(-c5ccc(-c6sc(-c7ccc(C)c8nsnc78)c7c6OCC(CC(CC)CCCC)(CC(CC)CCCC)CO7)c6nsnc56)sc4c(-c4cc5cc(CC(CC)CCCC)ccc5s4)c4cc(C)sc34)cc2c1,92,184,1354.1000000000022,12
PBQ-4,S41,8.55,8.55,0.9,13.58,0.702,54.5,22.7 ,2.40 ,1379,5.05,3.3,1.73,CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,94,184,1380.0060000000024,11
PBDTDTQx-T,S246,5.0,5.0,0.76,10.13,0.643,80.5,49.5 ,1.63 ,1307,5.12,3.45,1.67,CC(S1)=CC=C1C2=C(N=C(C3=CC(OC[C@H](CC)CCCC)=CC=C3)C(C4=CC=CC(OCC(CC)CCCC)=C4)=N5)C5=C(C(S6)=CC=C6C(S7)=CC(C7=C8C9=CC=C(CC(CC)CCCC)S9)=C(C%10=CC=C(CC(CCCC)CC)S%10)C%11=C8C=C(C)S%11)C=C2,CCCCC(CC)COc1cccc(-c2nc3c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)ccc(-c4ccc(C)s4)c3nc2-c2cccc(OC[C@H](CC)CCCC)c2)c1,90,184,1308.0460000000026,11
PBDT-DFQX-PT,S251,6.54,6.54,0.85,12.13,0.635,40.4,24.7 ,1.63 ,1343,5.29,3.58,1.75,CC(S1)=CC=C1C2=C(F)C(F)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(OC[C@H](CCCC)CC)C=C6)=C(C7=CC=C(OCC(CC)CCCC)C=C7)C8=C5C=C(C)S8)C9=C2N=C(C(S%10)=CC=C%10C[C@@H](CC)CCCC)C(C%11=CC=C(S%11)CC(CC)CCCC)=N9,CCCCC(CC)COc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nc(-c7ccc(C[C@@H](CC)CCCC)s7)c(-c7ccc(CC(CC)CCCC)s7)nc56)s4)sc3c(-c3ccc(OC[C@@H](CC)CCCC)cc3)c3cc(C)sc23)cc1,92,184,1344.0260000000023,11
